Item,Part Name,Quantity,Source,Link,Unit Cost,Total Cost,Notes
U1,RP2040,1,JLCPCB Parts,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,1.12,1.12,
U2,Voltage Regulator,1,JLCPCB Parts,https://jlcpcb.com/partdetail/bl_shanghai_belling-BL111733CX/C5400,0.05,0.05,"You can also use C26537, but its a bit more expensive"
U3,Flash Mem.,1,JLCPCB Parts,https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521,0.74,0.74,
U4,Crystal Oscillator,1,JLCPCB Parts,https://jlcpcb.com/partdetail/AbraconLlc-ABM8_272T3/C20625731,0.36,0.36,
"U5, U6",IO Expander,2,JLCPCB Parts,https://jlcpcb.com/partdetail/MicrochipTech-MCP23017T_EML/C629439,1.55,3.1,
J1,DC Barrel Jack,1,JLCPCB Parts,https://jlcpcb.com/partdetail/ShouHan-DC005/C431533,0.05,0.05,
J2,USB C Conn,1,JLCPCB Parts,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,0.17,0.17,
J3,2x30 Pin Header,1,Aliexpress,https://www.aliexpress.com/item/32214180690.html?spm=a2g0o.productlist.main.11.62007aa28osNlK&algo_pvid=4aeb8a1d-9196-4dce-9fd8-8f74cdbfb503&algo_exp_id=4aeb8a1d-9196-4dce-9fd8-8f74cdbfb503-10&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%210.76%210.76%21%21%210.76%210.76%21%402103246617503783498077610ef0cd%2112000023678787662%21sea%21NZ%212895682434%21X&curPageLogUid=gqU9QpHzRo8G&utparam-url=scene%3Asearch%7Cquery_from%3A,0.15,0.15,
"R1, R2",1kΩ Resistor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,0.01,0.02,
"R3, R4",27.4Ω Resistor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/25848-0402WGF330JTCE/C25105,0.01,0.02,"Using 33Ω resistors instead here, technically not to spec, but will almost certainly still work"
"R5, R6",5.1kΩ Resistor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,0.01,0.02,
"R7, R8",4.7kΩ Resistor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900,0.01,0.02,
"C1, C2",10uF Capacitor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,0.01,0.02,"0603, all other smd r and c are 0402"
"C3, C4, C5, C6, C7, C8, C9, C12, C13, C14",100nF Capacitor,10,JLCPCB Parts,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,0.01,0.1,
"C10, C11",1uF Capacitor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849,0.01,0.02,"0603, all other smd r and c are 0402"
"C15, C16",15pF Capacitor,2,JLCPCB Parts,https://jlcpcb.com/partdetail/1900-0402CG150J500NT/C1548,0.01,0.02,
BOARD,PCB Board,1,JLCPCB,NA,0.8,0.8,"Excl. PCBA, default settings (1.6mm fr4), this is assuming 5 ordered, and this is the cost of 1"
PCBA,PCB Assembly,,,,21.01,21.01,"This includes the cost of parts, so the cost of jlcpcb parts has been excluded from the total cost, again this is the cost for 1, but min order is 2"
Total Cost,,,,,,,
Single Board,,,,,,21.96,
Min Order (JLCPCB),,,,,,46.17,
