Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10u,
"C10, C11",0603,2,1u,
"C12, C13, C14, C3, C4, C5, C6, C7, C8, C9",0402,10,100n,
"C15, C16",0402,2,15p,
J1,NINIGI_DC-005,1,DC-005,
J2,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J3,PinHeader_2x30_P1.27mm_Vertical,1,Conn_02x30_Odd_Even,
J4,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02,
"R1, R2",0402,2,1k,
"R3, R4",0402,2,27.4,
"R5, R6",0402,2,5.1k,
"R7, R8",0402,2,4.7k,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC127P790X216-8N,1,W25Q128JVS,
U4,XTAL_ABM8-272-T3,1,ABM8-272-T3,
"U5, U6",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,2,MCP23017,
