Designator,Mid X,Mid Y,Rotation,Layer
C1,110.1,-42.075,90.0,top
C10,118.625,-50.0,180.0,top
C11,118.6,-51.5,0.0,top
C12,117.75,-55.5,180.0,top
C13,129.4575,-53.35,0.0,top
C14,107.6,-55.02,270.0,top
C15,137.55,-54.7,90.0,top
C16,132.9,-54.65,90.0,top
C2,129.8,-44.48,90.0,top
C3,121.4,-60.0425,270.0,top
C4,129.37,-58.25,0.0,top
C5,129.67,-54.3625,0.0,top
C6,125.2875,-49.63,90.0,top
C7,121.6875,-49.73,90.0,top
C8,120.7,-49.72,90.0,top
C9,119.2,-54.5,180.0,top
J1,100.3125,-48.2,270.0,top
J2,116.27,-40.3,180.0,top
J3,115.935,-73.465,270.0,top
J4,106.2,-59.235,0.0,top
R1,131.85,-54.66,90.0,top
R2,108.8,-60.6,0.0,top
R3,115.5,-46.9,270.0,top
R4,117.0,-46.9,270.0,top
R5,113.81,-46.5,180.0,top
R6,118.69,-46.5,0.0,top
R7,121.89,-61.5,0.0,top
R8,121.91,-62.7,0.0,top
U1,124.3,-54.9,180.0,top
U2,125.4,-44.2,90.0,top
U3,111.2,-54.9,90.0,top
U4,135.2,-54.7,180.0,top
U5,125.6625,-66.95,270.0,top
U6,107.3625,-66.95,270.0,top
