Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10u,
"C10, C11",0402,2,1u,
"C12, C13, C14, C3, C4, C5, C6, C7, C8, C9",0402,10,100n,
"C15, C16",0402,2,15p,
"D1, D10, D100, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-323,100,D,
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D200",0603,100,LED,
J1,NINIGI_DC-005,1,DC-005,
J2,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
"J3, J4",PinHeader_1x14_P2.54mm_Vertical,2,Touchscreen,
"M1, M10, M2, M3, M4, M5, M6, M7, M8, M9",PinHeader_1x03_P2.54mm_Horizontal,10,Motor_Servo,
"R1, R2",0402,2,1k,
"R10, R100, R101, R102, R103, R104, R105, R106, R107, R108, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,100,680R,
"R109, R110",TRIM_PTA3043-2010CIB103,2,PTA3043-2010CIB103,
"R3, R4",0402,2,27.4,
"R5, R6",0402,2,5.1k,
"R7, R8",0402,2,4.7k,
S1,SW_TS-1187A-B-A-B,1,USB BOOT,
SW1,MX-Hotswap-1U,1,Esc,
SW10,MX-Hotswap-1U,1,F9,
SW100,MX-Hotswap-2U-Vertical,1,Enter,
SW101,TRIM_EC10E1220501,1,RotaryEncoder,
SW11,MX-Hotswap-1U,1,F10,
SW12,MX-Hotswap-1U,1,F11,
SW13,MX-Hotswap-1U,1,F12,
SW14,MX-Hotswap-1U,1,DEL,
SW15,MX-Hotswap-1U,1,HOME,
SW16,MX-Hotswap-1U,1,END,
SW17,MX-Hotswap-1U,1,PGUP,
SW18,MX-Hotswap-1U,1,PGDN,
SW19,MX-Hotswap-1U,1,INS,
SW2,MX-Hotswap-1U,1,F1,
SW20,MX-Hotswap-1U,1,TILDE,
"SW21, SW85",MX-Hotswap-1U,2,1,
"SW22, SW86",MX-Hotswap-1U,2,2,
"SW23, SW87",MX-Hotswap-1U,2,3,
"SW24, SW68",MX-Hotswap-1U,2,4,
"SW25, SW69",MX-Hotswap-1U,2,5,
"SW26, SW70",MX-Hotswap-1U,2,6,
"SW27, SW52",MX-Hotswap-1U,2,7,
"SW28, SW53",MX-Hotswap-1U,2,8,
"SW29, SW54",MX-Hotswap-1U,2,9,
SW3,MX-Hotswap-1U,1,F2,
"SW30, SW98",MX-Hotswap-1U,2,0,
"SW31, SW37",MX-Hotswap-1U,2,-,
SW32,MX-Hotswap-1U,1,=,
SW33,MX-Hotswap-2U,1,BKSP,
SW34,MX-Hotswap-1U,1,Num,
"SW35, SW82",MX-Hotswap-1U,2,/,
SW36,MX-Hotswap-1U,1,*,
SW38,MX-Hotswap-1.5U,1,Tab,
SW39,MX-Hotswap-1U,1,Q,
SW4,MX-Hotswap-1U,1,F3,
SW40,MX-Hotswap-1U,1,W,
SW41,MX-Hotswap-1U,1,E,
SW42,MX-Hotswap-1U,1,R,
SW43,MX-Hotswap-1U,1,T,
SW44,MX-Hotswap-1U,1,Y,
SW45,MX-Hotswap-1U,1,U,
SW46,MX-Hotswap-1U,1,I,
SW47,MX-Hotswap-1U,1,O,
SW48,MX-Hotswap-1U,1,P,
SW49,MX-Hotswap-1U,1,[,
SW5,MX-Hotswap-1U,1,F4,
SW50,MX-Hotswap-1U,1,],
SW51,MX-Hotswap-1.5U,1,\,
SW55,MX-Hotswap-1.75U,1,Caps,
SW56,MX-Hotswap-1U,1,A,
SW57,MX-Hotswap-1U,1,S,
SW58,MX-Hotswap-1U,1,D,
SW59,MX-Hotswap-1U,1,F,
SW6,MX-Hotswap-1U,1,F5,
SW60,MX-Hotswap-1U,1,G,
SW61,MX-Hotswap-1U,1,H,
SW62,MX-Hotswap-1U,1,J,
SW63,MX-Hotswap-1U,1,K,
SW64,MX-Hotswap-1U,1,L,
SW65,MX-Hotswap-1U,1,;,
SW66,MX-Hotswap-1U,1,"""",
SW67,MX-Hotswap-2.25U,1,Enter,
SW7,MX-Hotswap-1U,1,F6,
SW71,MX-Hotswap-2U-Vertical,1,+,
SW72,MX-Hotswap-2.25U,1,Shift,
SW73,MX-Hotswap-1U,1,Z,
SW74,MX-Hotswap-1U,1,X,
SW75,MX-Hotswap-1U,1,C,
SW76,MX-Hotswap-1U,1,V,
SW77,MX-Hotswap-1U,1,B,
SW78,MX-Hotswap-1U,1,N,
SW79,MX-Hotswap-1U,1,M,
SW8,MX-Hotswap-1U,1,F7,
SW80,MX-Hotswap-1U,1,<,
SW81,MX-Hotswap-1U,1,>,
SW83,MX-Hotswap-1.75U,1,Shift,
SW84,MX-Hotswap-1U,1,Up,
SW88,MX-Hotswap-1.25U,1,Ctrl,
SW89,MX-Hotswap-1.25U,1,Win,
SW9,MX-Hotswap-1U,1,F8,
SW90,MX-Hotswap-1.25U,1,Alt,
SW91,MX-Hotswap-6.25U,1,Space,
SW92,MX-Hotswap-1U,1,Fn,
SW93,MX-Hotswap-1U,1,M1,
