Designator,Mid X,Mid Y,Rotation,Layer
C1,44.6,-31.6,180.0,bottom
C10,60.92,-24.5,180.0,top
C11,60.92,-25.5,0.0,top
C12,71.32,-26.8,0.0,top
C13,50.97,-29.45,180.0,top
C14,55.37,-38.17,0.0,top
C15,87.75,-20.0,270.0,top
C16,82.5,-20.02,270.0,top
C2,47.6,-33.1,90.0,bottom
C3,63.25,-33.4,270.0,top
C4,62.0,-35.6,90.0,top
C5,71.6,-27.8,0.0,top
C6,67.2,-22.02,90.0,top
C7,63.6,-23.1,90.0,top
C8,60.92,-23.5,180.0,top
C9,52.26,-28.45,180.0,top
D1,57.0,-56.0,90.0,top
D10,228.0,-56.0,90.0,top
D100,400.0,-140.95,90.0,top
D101,50.2125,-57.0,0.0,top
D102,69.248864,-57.0,0.0,top
D103,88.245227,-57.0,0.0,top
D104,107.241591,-57.0,0.0,top
D105,126.237955,-57.0,0.0,top
D106,145.234318,-57.0,0.0,top
D107,164.230682,-57.0,0.0,top
D108,183.227045,-57.0,0.0,top
D109,202.223409,-57.0,0.0,top
D11,247.0,-56.05,90.0,top
D110,221.219773,-57.0,0.0,top
D111,240.216136,-57.0,0.0,top
D112,259.2125,-57.0,0.0,top
D113,279.0,-57.0,0.0,top
D114,298.035417,-57.0,0.0,top
D115,317.070833,-57.0,0.0,top
D116,336.10625,-57.0,0.0,top
D117,355.141667,-57.0,0.0,top
D118,374.177083,-57.0,0.0,top
D119,393.2125,-57.0,0.0,top
D12,266.0,-56.05,90.0,top
D120,50.2125,-76.0,0.0,top
D121,69.0,-76.0,0.0,top
D122,88.2125,-76.0,0.0,top
D123,107.2125,-76.0,0.0,top
D124,126.2125,-76.0,0.0,top
D125,145.2125,-76.0,0.0,top
D126,164.0,-76.0,0.0,top
D127,183.2125,-76.0,0.0,top
D128,202.0,-76.0,0.0,top
D129,222.2125,-76.0,0.0,top
D13,285.0,-56.05,90.0,top
D130,240.2125,-76.0,0.0,top
D131,259.2125,-76.0,0.0,top
D132,279.3875,-76.0,0.0,top
D133,308.0,-76.0,0.0,top
D134,336.2125,-76.0,0.0,top
D135,355.0,-76.0,0.0,top
D136,374.0,-76.0,0.0,top
D137,392.2125,-76.0,0.0,top
D138,55.0,-95.0,0.0,top
D139,79.2125,-95.0,0.0,top
D14,304.0,-56.05,90.0,top
D140,98.2125,-95.0,0.0,top
D141,116.7875,-95.0,0.0,top
D142,135.7875,-95.0,0.0,top
D143,154.7875,-95.0,0.0,top
D144,173.2125,-95.0,0.0,top
D145,192.2125,-95.0,0.0,top
D146,212.2125,-95.0,0.0,top
D147,231.2125,-95.0,0.0,top
D148,250.2125,-95.0,0.0,top
D149,269.0,-95.0,0.0,top
D15,323.0,-55.95,90.0,top
D150,288.0,-95.0,0.0,top
D151,312.0,-95.0,0.0,top
D152,336.2125,-95.0,0.0,top
D153,354.7875,-95.0,0.0,top
D154,374.2125,-95.0,0.0,top
D155,57.2125,-114.0,0.0,top
D156,83.2125,-114.0,0.0,top
D157,102.2125,-114.0,0.0,top
D158,121.2125,-114.0,0.0,top
D159,140.2125,-114.0,0.0,top
D16,342.0,-55.95,90.0,top
D160,159.2125,-114.0,0.0,top
D161,178.2125,-114.0,0.0,top
D162,197.2125,-114.0,0.0,top
